iter	RMSE
0	3.190903783
1	3.156955257
2	3.124738569
3	3.091629111
4	3.062970357
5	3.033447919
6	3.005322596
7	2.977021552
8	2.951734888
9	2.925530435
10	2.900580776
11	2.87877184
12	2.85817695
13	2.834685408
14	2.81532923
15	2.794910705
16	2.775660303
17	2.760266886
18	2.741534762
19	2.7230078
20	2.706430604
21	2.689436294
22	2.67310762
23	2.658473735
24	2.644378215
25	2.630045026
26	2.615769025
27	2.604507992
28	2.593795347
29	2.583152457
30	2.570802751
31	2.560943184
32	2.551653932
33	2.540829329
34	2.530055632
35	2.520822767
36	2.509776584
37	2.500476638
38	2.491473766
39	2.483272683
40	2.47402528
41	2.465452564
42	2.455804099
43	2.44874141
44	2.441029599
45	2.43346666
46	2.427435348
47	2.419871632
48	2.412698724
49	2.40766332
50	2.400668412
51	2.395204603
52	2.389648442
53	2.383248048
54	2.376406829
55	2.37115395
56	2.366097247
57	2.361786021
58	2.357621449
59	2.352901398
60	2.348449668
61	2.343268898
62	2.339206925
63	2.334879693
64	2.329988617
65	2.326267885
66	2.322769742
67	2.317831498
68	2.315042547
69	2.309805849
70	2.307184179
71	2.303465157
72	2.299649642
73	2.296094722
74	2.29184676
75	2.28829582
76	2.285215691
77	2.282202039
78	2.278824169
79	2.275179899
80	2.27244276
81	2.26936496
82	2.266148941
83	2.263771906
84	2.260909488
85	2.257954438
86	2.256002331
87	2.253059906
88	2.250845199
89	2.247722279
90	2.244754269
91	2.241343188
92	2.239213978
93	2.237125718
94	2.235158605
95	2.232877607
96	2.229987067
97	2.228193922
98	2.226169082
99	2.224051442
100	2.222374978
101	2.219869535
102	2.218198098
103	2.216203254
104	2.214408064
105	2.212447623
106	2.21085262
107	2.209435927
108	2.207322154
109	2.205283381
110	2.20330811
111	2.202089867
112	2.200084189
113	2.199059501
114	2.19750885
115	2.196024556
116	2.195084129
117	2.193442929
118	2.191380584
119	2.190341947
120	2.188991164
121	2.18721162
122	2.185744188
123	2.184591542
124	2.183351229
125	2.181999615
126	2.181101273
127	2.179393941
128	2.177148728
129	2.175866432
130	2.174286963
131	2.172343505
132	2.171216948
133	2.169554164
134	2.167712536
135	2.166685695
136	2.165350129
137	2.164752317
138	2.164100973
139	2.163020067
140	2.162159212
141	2.160620597
142	2.159474126
143	2.157581288
144	2.156460344
145	2.155208978
146	2.153981634
147	2.152698499
148	2.151420701
149	2.150343067
150	2.149075772
151	2.147537302
152	2.146804909
153	2.145505973
154	2.144507958
155	2.143585973
156	2.142413158
157	2.141551706
158	2.140935365
159	2.139960769
160	2.139275275
161	2.138323584
162	2.13756423
163	2.136918408
164	2.135980845
165	2.135007266
166	2.133958233
167	2.133372648
168	2.132263628
169	2.131228884
170	2.130073017
171	2.128783611
172	2.127821719
173	2.126208233
174	2.125164802
175	2.124423419
176	2.12383424
177	2.122956231
178	2.121635238
179	2.120433459
180	2.119553419
181	2.118835856
182	2.11841026
183	2.117846897
184	2.117392539
185	2.116601595
186	2.115378299
187	2.114440371
188	2.11361299
189	2.11266808
190	2.112029294
191	2.111396508
192	2.110539876
193	2.109771473
194	2.109322108
195	2.109012939
196	2.108220066
197	2.107873339
198	2.107302601
199	2.106440043
200	2.105946363
201	2.10485188
202	2.10372558
203	2.10252668
204	2.101637911
205	2.10120259
206	2.100230743
207	2.098959031
208	2.097949567
209	2.097277613
210	2.095922113
211	2.095082211
212	2.09416724
213	2.093368962
214	2.092681572
215	2.09183371
216	2.091366964
217	2.09060724
218	2.090096063
219	2.08936419
220	2.0889002
221	2.08795318
222	2.087705029
223	2.086570671
224	2.085522971
225	2.084682863
226	2.084098265
227	2.083608286
228	2.082717156
229	2.08215078
230	2.081616967
231	2.080794599
232	2.080019989
233	2.07913612
234	2.078396599
235	2.077478528
236	2.076923526
237	2.076342186
238	2.075798222
239	2.075203223
240	2.07497065
241	2.074170076
242	2.073528737
243	2.072908278
244	2.072209224
245	2.071478265
246	2.070581968
247	2.069843243
248	2.068747413
249	2.067936804
250	2.067225471
251	2.066524396
252	2.065879799
253	2.065287121
254	2.064909952
255	2.064081785
256	2.063641554
257	2.063020425
258	2.062056983
259	2.061538448
260	2.061128915
261	2.060718854
262	2.060196569
263	2.059711152
264	2.059375589
265	2.059080802
266	2.05865645
267	2.057971164
268	2.057214935
269	2.056708963
270	2.056182216
271	2.055722056
272	2.055369217
273	2.054762
274	2.054244259
275	2.053569123
276	2.052865285
277	2.052134179
278	2.051625339
279	2.050397799
